c_x,c_y,c_t,a1,b1,c1,a2,c2
4,7,2.320364258815625,1,2,3,2.3238965856812066,0
7,1,1.644035885580343,3,1,3,2.6334125271179003,3
7,2,1.4418597135366373,1,1,2,1.255732694929586,0
3,2,2.9730009864142497,1,2,6,1.10797415215159,3
8,8,2.1133171977802614,3,2,4,2.9997738912652308,2
2,6,2.071704930778363,1,3,2,0.7192441139197585,4
7,6,4.045108265934118,3,2,6,1.6932055816343556,3
9,1,3.3485898892711106,1,2,9,0.9874595710465945,0
7,1,2.970630618984319,2,2,6,1.3814710211731802,2
3,3,3.784945267268015,2,1,2,2.0760169343483583,2
6,9,3.0596742671996227,3,1,9,0.8476646662387106,1
9,5,4.17091274098267,2,2,5,2.961957159240065,2
9,7,1.6661423298480726,1,2,8,1.0636632118821805,1
7,4,3.78648618331061,3,3,2,1.0721538229448677,2
3,4,3.2445559413072185,2,3,2,1.856175473340493,2
8,6,4.881416347590152,2,2,3,1.2368784478373351,4
8,1,1.8745405645829432,2,1,9,1.6071945869707842,0
5,3,1.440194682969996,3,1,2,1.3250009072865738,1
3,3,2.5085993903843007,1,2,1,1.796461373557257,0
3,1,1.2996175464318642,3,3,8,0.8198328087806218,1
2,6,3.60559701382706,1,3,6,2.3562537769538063,4
8,9,1.8043505435765987,2,1,2,2.862183479450752,0
7,1,3.1630903722398087,1,2,7,0.6613652603768048,0
9,7,1.5021742881826374,1,2,8,0.7697428788026374,0
5,8,2.822720291985471,3,2,4,2.4787876177608195,1
4,2,4.70026225027471,1,1,2,0.6470105237383592,4
3,4,1.8477013908844642,2,2,4,1.7380312368157063,0
6,8,3.398729085506459,3,3,8,0.5195401504715651,3
3,9,4.258223031715351,2,1,9,2.6065514632409794,3
7,8,4.745491031636032,3,3,1,2.965925633509914,0
6,7,3.4843211031769856,1,3,6,2.867753341702524,2
1,1,2.7500089706492172,3,1,3,1.619550392830317,0
8,9,3.6373154931075242,1,3,4,2.2819718937250992,3
7,6,3.449103245623446,3,1,1,0.9448788484674632,4
2,1,4.052061423950649,3,2,5,2.5237622543977594,1
1,4,4.771924032754519,3,3,4,2.995717409363974,4
7,2,1.0106559807213427,3,2,2,2.2215584983469325,0
1,8,4.667957316803491,3,3,5,1.714631818970218,4
8,6,1.645371760620467,2,3,9,2.0913300714020497,2
2,7,4.009134649850131,2,1,9,1.1744986384944358,4
5,8,3.0792985394848937,3,1,4,1.6971805026115614,1
6,5,4.63329383218786,3,1,4,0.9365537960693283,3
9,5,3.6061917584835053,2,1,8,2.519137700654813,2
4,2,1.9253143737130674,2,3,7,2.875825550220702,1
4,2,3.3473733001115,3,2,6,1.879627416794128,3
7,3,1.7312406524509707,1,2,7,2.8059761795678426,3
8,9,4.252173309959964,1,2,9,1.9795812403972328,2
1,6,1.6875782749558077,2,3,5,1.6893346833896183,4
9,9,1.4432357996195546,1,1,3,2.7897344299631777,0
2,3,1.1854639767596598,3,3,6,0.8864625057716681,0
6,8,2.794490785606105,1,1,2,2.6641284412479114,3
1,1,2.2920099718738243,1,2,4,0.560884795183293,2
9,1,1.5973443817728494,2,1,9,1.8606993379357692,2
1,1,4.0672977079989465,3,1,6,1.271327290922812,4
3,4,3.4057488970766956,2,1,9,0.5328587824774862,4
8,4,4.8124922197248905,3,1,5,0.9850701841050995,4
1,8,1.381540340118935,1,1,5,0.5743887123889364,0
2,4,1.5167413559878815,1,2,7,1.33365060485977,1
8,4,1.347625554557022,3,2,1,2.21912554499397,0
1,2,3.7691253103209386,3,3,4,2.78335627208464,4
2,5,1.488199910600926,1,3,1,0.5106996584744954,0
9,2,4.719263573202238,1,1,8,2.5506136466931792,1
4,4,2.913144170859713,1,3,2,1.559350362535464,2
3,4,2.915865973322959,3,3,5,2.811076619874975,2
4,9,1.1971756898470187,1,3,3,2.1369311110129856,0
6,9,2.2494603201282883,2,2,1,0.6707314452413564,0
3,8,4.589960121451417,2,3,1,2.7922357263601136,2
4,7,3.44026822555295,2,3,4,0.9295505910786229,0
5,4,2.311528567669286,2,2,1,2.8729219073842645,3
6,7,3.4367041019669355,1,2,5,1.2892878177197789,3
8,7,4.8462303033405245,3,1,7,1.5882961773644388,4
2,1,2.836013106830221,2,3,2,2.3396576165173792,0
7,6,4.717005004639817,2,3,8,1.537756525502558,3
8,5,4.759541473903378,1,1,5,0.7438563729273441,1
1,9,3.4323343778319124,2,2,6,1.846243354166322,1
4,5,3.736874639363115,3,2,7,2.489616627726602,0
8,2,2.2510156993225463,3,1,9,2.5418339232725167,2
6,3,2.1676211533112593,1,2,9,2.698226734324816,4
7,9,2.7399152267883444,1,2,4,2.921363456578594,1
2,4,1.7027877976596795,3,2,8,0.9782028871696518,4
5,4,1.209257227874173,3,3,8,0.8873293298103642,1
9,4,1.0471587583088886,2,2,7,0.7484720663941009,0
9,4,4.610421219913656,3,3,2,2.717186567452228,3
6,8,4.166389541604448,2,1,7,1.4379171425104076,4
1,8,3.271712938655704,1,2,7,1.3636734702446431,2
1,8,3.711566301780193,3,2,3,1.8174083470516482,4
6,4,3.2680559029549343,1,3,8,1.1717709071313336,0
9,4,3.1021107769247176,3,1,7,0.5994180000957243,1
4,8,3.177217822406755,2,1,2,1.3324605518788322,3
5,5,3.2335285263564963,3,2,6,2.12040672947093,2
5,8,3.7509275678036076,1,1,2,2.1135220724387613,4
4,5,2.8356760107767394,2,2,4,1.6980792756316385,3
1,7,3.1582898127448944,1,1,9,1.5233926666768858,0
6,8,2.4416948375114256,1,3,2,1.1843668393957572,0
9,3,2.930697100787793,3,3,4,0.7378960181510714,0
9,3,3.073047762143572,3,2,4,1.64397313218526,4
4,6,3.195090474060168,2,3,7,1.3146224441053287,0
9,3,1.8826990643519697,1,2,6,0.9350358498447213,1
2,4,3.3698790437098842,3,2,5,2.6652292491095677,0
6,2,2.8577161934824993,1,3,2,0.978965550544773,0
9,6,4.3203604617955325,2,2,3,2.5563541611795606,3
2,2,4.116498687568658,1,2,6,0.9644105744171636,1
7,1,2.496507280723867,2,1,6,2.3874298738827866,1
1,3,4.024062011698541,1,2,2,0.8617105556857303,1
9,5,1.9432055327005782,3,1,7,1.0608844206383954,4
9,9,3.844994758443896,2,2,9,1.7507482147250657,4
6,5,2.306700832528278,2,2,6,1.7887785537178944,3
8,9,2.51722715503747,1,2,1,1.4702187996130451,2
4,5,1.209782166234961,3,1,5,2.9210001198315423,4
8,1,3.2616265686174204,2,2,2,2.20877477321961,2
3,7,4.923852919576438,2,2,9,2.009498084480718,0
7,3,1.3683718200658594,2,2,6,2.980489824450438,0
9,9,1.316462810306092,3,1,2,1.9661372005497895,3
8,2,2.928537750722673,2,3,3,2.412611005002871,0
7,4,1.8284853294080672,1,1,6,0.9213479548366752,2
9,8,2.25886221336268,3,2,9,2.3821844162811594,4
6,8,2.3847859691952165,2,2,9,0.5869903232775682,1
3,3,3.247232451622818,1,2,7,1.9470464681614446,0
4,9,3.430107605337242,2,3,1,0.771756119634198,0
9,8,1.6686780342856378,3,1,5,1.0763400598415984,4
1,8,3.922816562005221,1,2,9,1.89121343647997,1
1,1,4.471585697858672,1,2,2,2.1389561948291673,1
6,2,1.6775251585516822,1,3,6,1.0241141820055004,0
9,3,1.3812190623412794,3,3,2,0.6823903107723481,4
5,4,2.289706318162184,1,1,3,1.8175842663546944,3
4,8,4.043706470522634,1,2,5,1.947922988449326,3
4,5,2.6978449462683964,2,3,3,2.6301825746107155,4
8,1,3.2217904634907915,1,2,2,1.4236883559052673,1
7,8,3.503349612742936,2,3,9,1.654957057485564,2
8,9,1.8791447541104547,1,3,4,1.5429429884694956,3
2,5,1.4450259711771416,2,1,4,2.9431382404698283,4
7,8,1.5848673635796895,1,2,5,2.7988744320911945,0
7,5,1.3217920028415233,1,1,5,1.4271954155864683,4
8,6,2.8420297636985903,2,3,8,2.1498151881369165,3
5,8,3.6918529919984944,1,1,7,2.8262484857795687,0
6,2,4.026947053829334,2,1,9,0.5682339990850358,4
1,9,1.0983136786316008,3,2,5,2.727042959687179,0
5,6,3.093625222627163,3,3,9,0.6593921991501788,2
5,6,1.1200970706105728,2,3,3,1.7363434954721055,3
3,4,1.271703491384637,1,1,9,0.5730505500714675,1
3,3,4.788300094541951,2,3,9,1.0710358311417956,0
1,8,3.479013361948665,3,3,1,0.639484054269303,4
9,6,2.8425606785579967,1,1,6,2.7168400867236335,0
2,6,3.6672352764210046,1,3,8,0.6543339236466207,4
6,2,1.7987403686777368,1,1,9,1.578092404257257,1
6,9,3.7676165777570145,1,3,6,1.7141994106924594,1
3,5,1.7135459603985135,2,1,4,1.3140058344435617,0
5,9,1.381548352075154,3,2,7,0.9223786222835,3
7,4,3.2658534927818934,2,2,1,1.005429630731493,1
9,4,1.2609539736013224,1,1,2,1.819520936486482,1
6,7,1.3957516096232907,1,3,4,0.984064232847467,2
8,7,3.593022722373324,1,3,9,0.5692440194995758,4
6,1,2.753202130084412,1,3,9,1.0585181744870782,3
7,8,2.951917399882569,3,2,8,0.8154991779648018,3
6,9,4.070014898329128,3,3,7,0.5707092043934743,2
2,5,4.183363172533993,1,1,8,2.328096725348729,0
7,5,4.655573670922824,1,3,6,2.4208942921091063,3
7,7,4.569787420073732,1,1,6,0.5607752305684559,0
7,2,3.6172488418704987,1,3,6,1.9548222463417193,2
7,3,1.404165286196855,2,1,5,1.7727371593554968,2
2,8,3.964917950344281,3,2,4,2.650239411421982,4
5,4,4.135397024670887,1,2,3,2.709355027811998,0
8,1,3.892833750798676,3,2,9,2.500521042190856,4
8,4,3.202233924981162,1,3,4,2.1735429147552674,2
3,3,1.2268794502174396,1,2,5,0.9838159411572257,4
6,5,4.800641162873501,2,2,6,2.96992539387075,1
5,9,1.8782463198998949,1,3,5,2.5224717826036183,3
3,6,2.484044115505245,2,3,8,1.4856388987193412,2
7,5,2.5028704418862464,1,3,5,2.7678278956692894,0
7,8,4.283484066081736,3,3,8,1.9711302234769872,3
7,1,2.037536647246301,3,1,9,0.9093212300320912,3
5,5,1.730729239764334,3,2,7,1.0909629187165883,4
5,8,3.98587239995863,3,1,7,0.7741518450695444,0
9,8,1.9048112214347555,2,3,4,0.7477741498549677,1
2,2,3.5365056412791938,3,2,8,1.2055312145572248,3
8,8,1.1711793731947093,1,1,2,1.7261007134553465,2
4,3,2.011891033469671,2,1,9,0.7509778327080331,0
5,9,2.675323138281719,1,3,4,1.1332631819803238,1
2,5,4.892830907904024,3,2,9,1.9238318540606654,1
9,4,3.1389375947637124,1,3,2,0.5481226479683095,2
1,4,1.2577266571637904,3,1,6,2.889863891824779,4
9,3,2.335027819942055,3,2,9,2.9611974853719056,2
4,5,1.7011141448773035,1,3,9,1.28268314291384,4
2,7,4.291290484897697,3,2,4,2.563792737068584,3
5,1,2.9799632112582612,3,2,5,1.8361637373458208,2
2,9,2.700065705044707,1,3,6,1.9980401909499008,2
6,8,4.912868556387421,3,1,4,2.9633276618956894,2
9,7,4.698686031379208,1,3,2,2.5069459455678027,2
8,9,1.9754362941416996,3,3,7,2.787602415274492,2
4,4,3.712042692671904,1,1,6,2.871488690896882,0
2,3,1.9235310033477457,2,2,6,0.5216555540223609,0
6,9,4.238366035366924,3,1,5,2.345202348116204,4
4,6,2.770459655788462,1,1,8,2.718221353302731,4
1,4,1.5089863531492531,3,2,1,1.5565270120829573,1
1,7,4.825700131100804,2,3,3,1.8692305896577168,2
6,5,2.7506263691270796,2,1,4,2.0179794683028494,0
2,1,1.9839678478339775,1,3,6,1.8775972153300131,0
4,8,3.8476450677241547,1,2,4,1.8995078081389243,2
6,5,2.260946605343229,3,2,1,2.607845610589362,2
9,2,1.693861351851516,2,1,8,0.8087568978777128,3
7,7,1.5776545852172883,2,2,1,1.6464243058826358,0
3,2,4.722020976999193,3,3,2,1.044878644739105,2
6,6,2.73662629085915,1,2,3,1.7692755342984907,3
4,1,2.2737913955442988,1,2,9,2.2274266131025966,4
7,8,3.688558901940117,3,2,6,0.6927918481819113,2
6,3,2.6803892898202273,3,3,7,2.520272193788733,1
7,4,3.0227523299683625,2,3,2,1.4588252638608235,4
9,4,3.1218178404934136,2,2,4,2.52009368179394,4
6,2,4.931348831524104,1,3,7,0.5052398661144839,3
3,7,3.0296955328845776,2,1,8,1.5366562653543812,3
3,1,2.196754211210756,2,1,5,0.6316422975455209,4
8,2,4.822401130020316,3,3,1,1.3592135118242847,0
1,3,3.6951610767523544,1,1,1,1.4525140332754447,2
3,4,3.931336267176414,1,3,1,0.5899900868498138,3
1,8,1.4194552776189218,3,3,8,2.1783382658634265,4
6,5,1.350118646652981,1,1,9,2.8116791210440018,1
5,1,4.6485905404584305,1,3,2,1.2542138112028531,3
6,5,1.543846604274255,2,1,7,1.742251835344992,1
8,1,2.279578160403433,3,2,4,1.757085482308902,2
1,1,2.9817777893999318,1,3,6,2.9839141882841913,2
5,8,2.7597339621336623,3,2,2,2.5400897841150654,2
1,8,4.374119762575029,2,1,7,2.2256749132000073,2
9,4,3.3329739409150867,1,1,1,1.7280444051480102,4
3,5,3.275747083538722,3,3,8,2.699707419296319,4
3,6,1.1888555772801674,3,3,5,2.4566728107479,4
8,9,4.3614492082609235,3,1,7,0.870015462296448,2
9,9,3.5995441448584273,1,2,8,2.983806172076118,2
1,2,4.437045348250033,3,2,9,2.726817407867225,3
1,7,1.181571643157581,3,1,1,0.6906457859657276,3
5,8,1.584847773877252,3,1,4,1.8642127620677589,0
7,1,1.5494635671144716,1,1,7,1.2051854243178504,2
3,1,3.7862563082482077,1,1,4,1.726607761471275,3
4,7,3.4371719944381054,3,1,6,1.0898387187215408,2
9,3,1.384620975239009,1,3,4,1.9523470892195163,3
1,7,1.0850937553642561,3,1,6,2.0543059021062904,0
3,7,3.699008319499194,3,2,6,2.4761173229896922,2
7,3,4.924280558757336,2,3,2,2.756081542940262,4
1,8,3.832049398329824,3,2,9,2.733309558806956,1
9,4,3.235891732792636,1,3,7,1.50816747079834,2
2,7,3.7077938414532623,3,3,9,0.6194847331724758,4
3,1,2.9917999704103533,3,3,4,0.5179084461385526,1
1,7,4.731899313384774,1,1,2,1.2784664801597152,3
6,4,2.7558791083030454,2,3,1,2.577816954728344,1
3,1,4.179635730135923,1,3,5,1.4480950075755095,4
3,7,4.027128802296863,1,2,1,2.112114695303304,3
3,3,1.5279397332882008,2,1,1,1.541030002475099,1
7,6,4.198334479279204,3,1,2,2.051651573538055,3
9,2,3.8565945014716387,1,3,2,1.1887044590845404,1
6,6,2.1932339051243366,2,3,2,2.101202172996107,2
1,6,1.151191747201405,1,2,6,2.5966741861260694,0
3,2,3.7521207890158537,2,3,9,1.995332939291414,4
6,7,1.400246646920135,1,2,8,0.6288255298632779,0
3,7,2.870649858506489,3,3,1,1.0876771078324055,1
6,5,3.0117359068556655,2,2,6,2.84580617286246,3
7,7,2.8401341355941923,1,1,2,1.996216098864938,4
1,6,2.8735651638170325,3,3,7,2.138913800194204,1
2,4,1.9406764625159143,3,2,7,2.698889516831301,1
9,3,4.611629715811555,3,1,2,1.531645926475396,3
9,6,3.9289779571925667,2,2,3,2.2322156781785933,1
9,5,3.6064498460932923,2,3,1,1.0224362353492622,3
2,7,3.683956989519454,2,1,8,1.5462520527264743,4
5,4,2.6614465607619273,1,2,4,2.2951968959359954,3
5,2,3.4803776625501,1,2,6,1.0144608880170956,0
3,2,4.537181585794081,3,2,6,1.2432702260765445,3
9,2,1.1671287135319988,1,2,2,2.7140368103747337,0
5,6,4.157628938963201,2,1,3,2.5644957571567013,1
9,7,3.169604087842798,2,1,5,0.7685073231978365,4
2,2,3.9306205304283406,2,3,8,2.755153165340064,0
5,6,1.3556946530073009,3,1,2,2.4465527889471934,4
8,9,4.4195012435098295,3,3,7,1.609625213947856,2
3,5,3.6331004715170057,3,3,3,2.388591438591266,2
2,6,1.4739206742340376,3,1,4,1.175867514659215,0
1,9,3.8165201597309477,1,3,8,1.4018791592802897,2
3,9,2.9003982017657406,3,2,5,1.6584938356577914,0
8,3,3.942361459295488,2,1,2,2.866040331794741,3
6,2,2.4430161875404828,2,2,5,1.8537234759811159,3
1,9,3.325329398835103,1,3,7,1.7086083787878665,0
6,1,2.759425558465056,3,1,6,2.8567572117918334,0
6,6,4.723289966655508,1,2,1,0.8209070232740147,2
1,8,1.2363763676805672,1,1,5,1.4255880942272,4
7,9,4.4293856625399615,3,3,3,2.7274019174989674,2
3,5,2.5318642186976996,1,2,8,1.1034833345055217,0
8,9,4.296457749516745,3,1,4,1.6104176820243374,1
3,5,2.4004478541008427,3,3,9,1.5722550369074657,0
8,6,2.8989536049102056,1,1,5,1.5869418339663486,4
9,9,4.792061078651346,1,3,6,0.8940265781930474,4
7,6,4.925764119605592,1,2,8,2.4510714823507147,0
7,7,3.480271578830486,2,3,7,1.895049865499728,2
8,3,1.9229448774104436,2,1,9,0.73452280683042,1
6,7,4.853345507607445,1,2,3,2.781245584454366,0
9,4,1.3193542842182762,2,2,5,1.3267830308981774,1
3,5,2.971975861268487,3,3,7,2.9405611442871225,4
5,3,4.3712533528264785,2,1,3,2.290568603736526,1
2,7,4.145457290901937,1,1,7,1.563145940247979,4
2,4,1.932046145687179,1,2,3,1.9675306534490322,2
8,9,3.7331112253626237,3,1,1,1.0970491067648411,2
9,2,3.883126429665935,3,2,9,0.8841101023516857,1
7,3,3.020207187131134,2,2,2,1.1165509281369763,4
3,9,4.622916649831893,2,1,2,0.7869378516377865,1
3,7,4.5396240520457205,2,2,3,2.9955794943149407,4
2,1,1.9043420357449148,1,1,2,1.9849062048024442,4
6,9,1.6229202622062018,2,2,5,0.561151914680761,0
7,7,2.7619871635154625,2,2,2,1.000835905715808,2
5,7,3.6742663050189255,1,3,6,2.794725653387423,1
2,2,4.965676464833812,3,3,2,1.9647616850727505,1
6,6,1.3639395424758995,3,1,4,1.1764705491666847,0
1,5,2.6862207004099248,1,2,7,2.0916219533348794,3
9,5,3.57108368323337,2,3,8,1.5978173015866777,3
2,6,1.356220070810103,1,1,5,1.8566141631309816,1
8,6,2.0408822127270216,1,1,8,0.7668739111685261,1
1,7,2.656853733753097,3,2,2,2.331242649673971,0
2,9,3.3251813854209935,2,1,5,2.228088020173832,3
4,9,4.312419433750087,3,3,4,0.7213290074602148,3
1,6,3.4195650650787215,3,2,5,1.0515026942987997,3
3,2,4.733892014979478,2,2,4,1.731736016119073,2
2,1,3.295889858777826,1,1,3,1.8883990280706904,4
7,6,1.330086199059859,3,3,6,1.030843822677851,0
7,6,2.904683248707246,1,3,4,0.6908581620978103,1
3,4,3.104374806774387,1,3,8,0.7388850855376166,3
9,2,4.235514417851286,1,1,3,1.2619068454638165,4
1,7,2.260023006996818,2,1,5,1.7711668450769213,4
4,9,2.6016573315996343,3,3,5,2.100089230300818,3
1,6,1.0660281444353008,1,3,2,1.8956903664373672,4
6,2,3.8723534572168545,2,1,4,0.5016472438896133,1
1,7,2.8040286799833076,1,1,6,0.5704168638624334,4
8,8,4.3877968849587194,2,1,1,0.9165518568627619,2
2,9,2.2612161419319956,3,2,5,2.0186518970939606,3
6,5,4.872619797415847,1,3,4,2.171649246849853,3
8,5,2.003936868378646,3,2,2,2.484128519285521,2
3,1,1.7390663546951055,1,2,8,1.7774641313122541,0
8,2,2.491349830283472,2,3,7,1.2859955313669937,1
1,9,2.6839135655771735,3,1,4,2.9880056817779272,0
4,3,2.1643104373367157,3,1,1,2.500110285110428,1
9,6,4.913148123026148,1,3,2,1.4916535242231546,3
7,3,4.1549683910838064,2,3,7,0.5758095080234622,3
1,3,2.576252602855372,2,3,2,1.1443277535207683,2
3,7,3.4069772574200243,2,3,9,1.2988299191318882,3
7,1,3.380241096919514,2,3,2,1.7774395551227946,0
9,8,1.7971366275035878,3,3,1,0.6042831163954747,3
4,1,1.4872007013595647,2,1,3,0.790756868299003,4
4,4,1.8362947398291278,2,2,1,2.704554860129047,4
5,3,1.9917474509456126,3,3,3,1.5738500983163703,2
5,1,3.9502968264844966,3,2,9,1.2608516708913031,1
9,3,3.362946802703657,1,3,5,0.5433503427899509,2
3,6,2.1782396735250162,1,2,9,2.236169285325564,0
4,5,2.0378664084415647,3,3,1,2.5555504990758413,2
5,9,4.951366762256882,2,2,3,2.9278370236032734,0
7,4,1.7771821120719493,3,3,7,1.027424754601751,1
9,4,2.1294260184107237,2,3,3,0.9524794259581169,1
1,4,1.6300219842161292,1,3,3,1.8117642772514566,3
1,1,2.382027831935424,1,3,2,2.7173396726585,3
8,9,3.6139566452781478,2,2,4,1.6579226129969586,0
8,2,1.4356380838578677,3,3,9,1.7535440949911336,1
4,5,4.152062836801541,2,3,2,1.5855386615134155,1
8,7,2.475893408999343,2,1,8,2.918960216658677,4
3,4,1.3098409712767771,1,3,6,0.8629536789804109,4
9,9,3.881427747232498,2,2,8,1.9766831246227494,0
4,2,4.67417973340105,1,3,6,2.3171194034026303,2
1,1,3.028588041221966,2,3,4,2.560722874822441,1
3,6,4.190118477665024,1,1,3,1.6176962441651033,1
5,7,4.237967487015675,3,2,2,0.5302179845185282,1
2,7,4.344075485761107,1,1,4,1.3757302925379689,4
6,6,2.528526324816895,1,3,5,2.0378342650051904,0
1,3,2.398634950644245,2,1,2,1.0592353335685836,0
5,6,4.283986085866184,3,1,2,1.1354549168102406,4
5,7,2.563976966935568,3,1,7,2.8173649542812855,2
7,7,4.067689832364471,2,3,9,2.5536152388417235,1
2,1,1.4475668865641835,1,3,1,2.0190527188627456,1
3,5,1.1715067647063404,2,2,6,1.8465395227411328,0
9,4,2.082831561603532,3,1,2,2.7054092424029696,1
8,6,2.8755856056218696,1,1,4,1.4046640497865628,2
2,7,1.5066469869902028,2,2,7,2.905185834637299,4
6,3,1.9736592712999208,2,3,7,2.7234043029444877,4
6,2,3.5790230905675515,3,3,7,1.2180289042845536,0
9,1,3.324019738250185,1,2,4,2.19491264064569,3
7,2,4.792122215982162,2,2,3,2.8591901604516092,1
7,2,1.7516310260388646,2,1,9,1.6412625218576091,2
9,6,3.758292154861154,3,2,9,1.930121501105156,1
5,5,2.2525835728794896,3,2,6,1.3649003243669187,1
7,2,2.7669351939210096,1,2,8,0.9814028835546422,4
5,6,1.9770333968465459,1,3,1,2.2088407445124267,1
8,8,3.5312263483758284,3,2,1,2.0410368075692844,4
2,2,4.59282519344355,2,3,8,2.0208469355230685,4
3,5,2.1025140583673316,3,2,1,2.0218391640399354,0
5,8,1.0465818317598528,3,1,7,0.6800952470212352,3
1,5,3.3093554319849385,1,2,1,2.0856051658102985,2
2,2,3.7301196149624776,2,1,8,2.9332434938820944,2
8,9,1.5150854368895086,3,1,3,1.1284816037164727,2
6,4,4.693534473991251,2,3,6,1.1363894607967002,4
6,4,2.1339676831595624,3,1,2,2.029945404250007,4
1,2,4.00866795754074,3,2,9,2.1923736663047504,3
6,8,2.219802817509809,2,2,2,1.6425715719773915,2
1,7,2.313217944047139,2,1,6,0.9457049041853628,1
4,1,3.3140268480353527,2,3,8,0.86193955122482,1
5,5,2.847935611042333,2,2,7,1.5159406664232864,0
9,7,4.134432355095976,2,2,8,1.639914787802569,0
7,6,2.5156813347029234,1,2,8,0.8848502459610376,4
1,8,2.5425060859034736,3,3,2,0.7400053600258847,2
8,4,4.080950958472673,1,1,3,1.9802368364911862,2
8,3,4.402468768375428,2,2,6,2.4966894237364325,0
2,7,1.1482359599338254,2,1,4,2.347086345263481,1
4,3,1.5176405410103073,1,2,5,2.8404868698892143,0
5,4,1.7229492726763058,3,3,3,0.7984351213984066,3
4,5,1.8660431198863345,1,2,5,1.3445122954948796,3
2,7,1.9573865473814775,3,1,6,1.0089413071115167,2
5,6,2.9108058425207193,1,2,4,1.2745074811165686,3
4,1,3.9039851815625233,1,1,2,2.4203777317978186,2
7,7,1.9480502791107637,1,1,5,1.8710425835550653,3
6,7,3.8424434483302345,1,3,9,1.3589094598258558,3
4,3,4.808081867319301,1,2,2,2.716384303039672,0
4,8,2.066169111637162,3,3,8,0.799368850554649,0
5,7,4.57223936471749,1,3,7,0.9111323727375791,2
9,6,3.882033308752612,3,1,8,1.1450638273185225,3
8,2,2.2758208234663186,3,3,8,0.9095157872384164,1
1,6,2.8289025343190675,2,3,5,2.2262686071476674,0
8,5,3.140274024383135,1,2,3,2.0157864424111267,2
6,5,1.2360490615120114,3,1,8,1.7388401483279,2
8,1,1.196316797675744,2,3,3,0.9040518831665993,0
7,5,3.8271983633010547,2,1,5,0.8317847936996301,1
8,5,2.5302409957986525,1,1,7,1.4774775900350843,3
7,7,1.7925581957902845,1,1,1,0.7850795405081576,1
1,9,3.7513088864714463,1,2,7,0.8153757779157242,0
9,3,2.281324609226455,2,2,5,2.16913466901784,0
7,9,2.6309039084172885,1,2,9,2.235347118477276,3
4,7,2.9128322463366447,3,3,4,0.635968645138119,1
7,2,4.29070526028516,2,3,3,0.7194698793767449,4
9,9,3.411194124288187,1,3,3,1.2596494475033877,4
9,7,2.4569173954676224,1,3,9,1.0494161810904286,0
2,5,1.8196652129527662,3,2,7,0.6587607639972727,0
7,4,3.6808092167132966,1,2,2,1.3203033881795472,1
2,3,1.2696320998984807,3,2,6,0.7296921866537016,2
1,5,1.3616805576118631,1,1,4,1.9990123500862857,3
9,3,4.338511628155347,1,3,5,1.3834695102354488,4
9,3,1.9731756016748383,3,2,8,2.3484144923041343,1
5,5,4.884375115227186,3,2,2,0.5963076164552812,4
3,7,3.6992919008297154,3,2,7,2.029646551845929,4
4,6,1.2101439001218388,3,1,2,1.5777797316624782,4
